,Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
140,2010,Asia-Pacific,Federated States of Micronesia,1.0,95.3,2.7,1.0,1.0,1.0,1.0,1.0
141,2010,Europe,Moldova,1.0,97.4,1.0,1.0,1.0,1.0,1.0,
142,2010,Europe,Monaco,1.0,86.0,1.0,1.0,1.7,1.0,1.0,11.7
143,2010,Asia-Pacific,Mongolia,55.1,2.3,3.5,1.0,1.0,3.2,1.0,35.9
144,2010,Europe,Montenegro,1.0,78.1,1.0,1.0,1.0,18.7,1.0,3.2
145,2010,Latin America-Caribbean,Montserrat,1.0,93.5,1.0,1.0,1.0,1.0,1.5,4.8
146,2010,Middle East-North Africa,Morocco,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
147,2010,Sub-Saharan Africa,Mozambique,1.0,56.7,7.4,1.0,1.0,18.0,1.0,17.9
148,2010,Asia-Pacific,Burma (Myanmar),,7.8,5.8,1.7,1.0,4.0,1.0,1.0
149,2010,Sub-Saharan Africa,Namibia,1.0,97.5,1.0,1.0,1.0,1.0,1.0,1.9
150,2010,Asia-Pacific,Nauru,1.1,79.0,8.1,1.0,1.0,1.0,7.4,
151,2010,Asia-Pacific,Nepal,,1.0,3.7,80.7,1.0,4.6,1.0,
152,2010,Europe,Netherlands,1.0,50.6,1.0,1.0,1.0,6.0,1.0,42.1
153,2010,Asia-Pacific,New Caledonia,1.0,85.2,1.0,1.0,1.0,2.8,1.0,10.4
154,2010,Asia-Pacific,New Zealand,1.6,57.0,1.0,2.1,1.0,1.2,1.0,36.6
155,2010,Latin America-Caribbean,Nicaragua,1.0,85.8,1.4,1.0,1.0,1.0,1.0,12.5
156,2010,Sub-Saharan Africa,Niger,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
157,2010,Sub-Saharan Africa,Nigeria,1.0,49.3,1.4,1.0,1.0,48.8,1.0,1.0
158,2010,Asia-Pacific,Niue,1.0,96.4,1.0,1.0,1.0,1.0,1.0,3.3
159,2010,Asia-Pacific,North Korea,1.5,2.0,12.3,1.0,1.0,1.0,12.9,71.3
160,2010,Asia-Pacific,Northern Mariana Islands,10.6,,5.3,1.0,1.0,1.0,1.1,1.0
161,2010,Europe,Norway,1.0,,1.0,1.0,1.0,3.7,1.0,10.1
162,2010,Middle East-North Africa,Oman,1.0,,1.0,5.5,1.0,85.9,1.0,1.0
163,2010,Asia-Pacific,Pakistan,1.0,1.6,1.0,1.9,1.0,96.4,1.0,1.0
164,2010,Asia-Pacific,Palau,1.0,86.7,1.0,1.0,1.0,1.0,10.4,1.2
165,2010,Middle East-North Africa,Palestinian territories,1.0,,1.0,1.0,1.0,97.6,1.0,1.0
166,2010,Latin America-Caribbean,Panama,1.0,93.0,1.0,1.0,1.0,1.0,1.0,4.8
167,2010,Asia-Pacific,Papua New Guinea,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0
168,2010,Latin America-Caribbean,Paraguay,1.0,96.9,1.7,1.0,1.0,1.0,1.0,1.1
169,2010,Latin America-Caribbean,Peru,1.0,95.5,1.0,1.0,1.0,1.0,1.0,3.0
170,2010,Asia-Pacific,Philippines,1.0,,1.5,1.0,1.0,5.5,1.0,1.0
171,2010,Europe,Poland,1.0,94.3,1.0,1.0,1.0,1.0,1.0,5.6
